Zaire,TaiForest,Sudan,Reston,Bundibugyo,Marburg
0,6174,6449,6397,6209,8502
6174,0,6784,6765,5562,8561
6449,6784,0,6497,6798,8537
6397,6765,6497,0,6795,8487
6209,5562,6798,6795,0,8626
8502,8561,8537,8487,8626,0
